px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.91433	-11.374	-2.90804	1.64224	-0.360046	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.577396
9.8814	-11.5458	-3.23093	1.57369	-0.447849	9.87961	-11.5637	9.85	-11.5	0	-2.99843	39.693
9.87422	-11.7004	-3.22045	1.54973	-0.449156	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.737606
9.81022	-11.7838	-2.10378	1.46086	-0.563981	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	86.0651
9.79319	-11.8832	-2.09814	1.43154	-0.564886	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.38209
9.75802	-12.0364	-2.74432	1.38952	-0.588284	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	14.0883
9.7272	-12.1661	-2.74287	1.3587	-0.589622	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0.607499
9.65135	-12.2879	-2.54456	1.2755	-0.680301	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	47.4247
9.6071	-12.4023	-2.53873	1.23965	-0.681904	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0.705783
9.49435	-12.5042	-2.34499	1.12459	-0.814446	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	104.678
9.43606	-12.6018	-2.34179	1.08165	-0.816383	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0.911701
9.35832	-12.726	-2.52055	1.02833	-0.829783	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	1.84997
9.27849	-12.8349	-2.51355	0.980141	-0.832066	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0.959646
9.09725	-12.9011	-2.50243	0.80696	-1.03754	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	224.396
9.00067	-12.9803	-2.51534	0.751387	-1.04081	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	2.75659
8.80812	-13.0878	-3.30539	0.637578	-1.12673	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	48.8785
8.65356	-13.1809	-3.28488	0.572047	-1.12994	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	2.0453
8.5461	-13.1786	-2.50147	0.455061	-1.22019	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	41.8225
8.42682	-13.2222	-2.50412	0.391104	-1.22243	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	1.01021
8.25999	-13.2243	-2.88526	0.259809	-1.31722	8.22926	-13.1698	8.2	-13.15	-2.72741	0	59.3959
8.09892	-13.2492	-2.88963	0.183413	-1.32033	8.03583	-13.1513	8.05	-13.15	-2.72742	0	1.49806
7.94737	-13.253	-2.83677	0.0923018	-1.34661	7.82914	-13.0525	7.9	-13.15	-2.72986	0	3.74151
